0,0,50
0.0124,0.2463,50
0.0485,0.7239,50
0.1082,1.1955,50
0.1915,1.6663,50
0.2982,2.1354,50
0.4284,2.6021,50
0.5816,3.065,50
0.7578,3.5234,50
0.9566,3.9752,50
1.1775,4.4186,50
1.42,4.8504,50
1.6832,5.2665,50
1.9663,5.6606,50
2.2674,6.023,50
2.5844,6.3386,50
2.8955,6.2227,50
3.1717,5.5254,50
3.4138,4.8419,50
3.6211,4.1437,50
3.7934,3.4459,50
3.9338,2.8083,50
4.0474,2.2729,50
4.1396,1.8446,50
4.2165,1.5382,50
4.2847,1.3629,50
4.3511,1.3286,50
4.423,1.4373,50
4.5074,1.6873,50
4.6074,2.0007,50
4.7047,1.9463,50
4.7735,1.3749,50
4.8041,0.6125,50
4.8336,0.5909,50
4.8745,0.8174,50
4.9405,1.3195,50
5.0443,2.0769,50
5.1925,2.9631,50
5.3882,3.9142,50
5.6312,4.8603,50
5.9196,5.7686,50
6.2514,6.6347,50
6.6247,7.4663,50
7.0334,8.1747,50
7.4575,8.4822,50
7.893,8.7099,50
8.3383,8.9045,50
8.7919,9.0728,50
9.2526,9.2159,50
9.7147,9.2394,50
10.1705,9.1154,50
10.6229,9.048,50
11.071,8.9631,50
11.494,8.4609,50
11.8864,7.8465,50
12.2473,7.2193,50
12.577,6.5921,50
12.8755,5.9706,50
13.1433,5.3568,50
13.3809,4.7518,50
13.5888,4.1553,50
13.7671,3.5676,50
13.9165,2.9861,50
14.0371,2.4111,50
14.1292,1.8411,50
14.1929,1.2745,50
14.2285,0.7115,50
